PHILIPPINES 142
KENYA 3
THAILAND 15
NIGERIA 23
IRAQ 56
INDONESIA 27
"SOUTH AFRICA" 26
ZAMBIA 36
ANGOLA 2
PAKISTAN 55
MALAWI 6
BENIN 3
MEXICO 18
MALDIVES 1
CONGO 14
BANGLADESH 13
"MYANMAR [BURMA]" 13
COLOMBIA 2
PERU 4
GHANA 6
RWANDA 4
SENEGAL 2
TANZANIA 3
MONGOLIA 1
MOZAMBIQUE 1
GUINEA 1
"UNITED KINGDOM" 1
INDIA 1
CAMBODIA 1
AUSTRALIA 1
